CustomerCD,PurchaseDate,Item,Amount,Number
Customer0006374,2020/4/13,Apple Pie,590,2
Customer0006374,2020/4/28,Apple Pie,590,1
Customer0006442,2020/5/2,Apple Pie,590,1
Customer0006597,2020/5/6,Apple Pie,590,2
Customer0006374,2020/5/12,Apple Pie,590,2
Customer0006374,2020/5/25,Apple Pie,590,2
Customer0006374,2020/6/9,Apple Pie,590,2
Customer0006597,2020/6/9,Apple Pie,590,2
Customer0006374,2020/6/23,Apple Pie,590,3
Customer0006442,2020/7/4,Apple Pie,590,2
Customer0006374,2020/7/4,Apple Pie,590,2
Customer0006374,2020/7/16,Apple Pie,590,1
Customer0006442,2020/8/29,Apple Pie,590,1
Customer0006374,2020/8/30,Apple Pie,590,1
Customer0006597,2020/6/1,Apple Pie,590,2
Customer0006442,2020/7/4,Apple Pie,590,3
Customer0006442,2020/7/4,Apple Pie,590,1
Customer0006374,2020/8/15,Apple Pie,590,3
Customer0006374,2020/8/28,Apple Pie,590,2
Customer0006597,2020/6/1,Apple Pie,590,2
Customer0006374,2020/8/28,Apple Pie,590,3
Customer0000675,2019/12/10,Apple Pie,590,3
Customer0000675,2020/4/16,Apple Pie,590,1
Customer0006374,2019/9/13,Gateau chocolat,600,1
Customer0006374,2019/9/28,Gateau chocolat,600,2
Customer0006374,2019/10/15,Gateau chocolat,600,2
Customer0006374,2019/10/29,Gateau chocolat,600,1
Customer0006374,2019/11/12,Gateau chocolat,600,2
Customer0006374,2019/11/26,Gateau chocolat,600,3
Customer0006374,2020/1/7,Gateau chocolat,600,2
Customer0006374,2020/1/24,Gateau chocolat,600,2
Customer0006374,2020/2/4,Gateau chocolat,600,1
Customer0006374,2020/2/18,Gateau chocolat,600,1
Customer0006374,2020/3/3,Gateau chocolat,600,3
Customer0006374,2020/3/16,Gateau chocolat,600,3
Customer0006374,2020/3/31,Gateau chocolat,600,1
Customer0006374,2020/4/13,Gateau chocolat,600,3
Customer0006374,2020/4/28,Gateau chocolat,600,1
Customer0006374,2020/5/12,Gateau chocolat,600,2
Customer0006374,2020/5/25,Gateau chocolat,600,1
Customer0006374,2020/6/9,Gateau chocolat,600,1
Customer0006374,2020/6/23,Gateau chocolat,600,3
Customer0006374,2020/7/16,Gateau chocolat,600,2
Customer0006442,2020/8/29,Gateau chocolat,600,3
Customer0006374,2019/10/15,Gateau chocolat,600,2
Customer0006374,2019/10/15,Gateau chocolat,600,3
Customer0000208,2019/10/12,Chocolate cake,480,3
Customer0000208,2019/11/23,Chocolate cake,480,1
Customer0007227,2019/11/27,Chocolate cake,480,2
Customer0007227,2020/3/28,Chocolate cake,480,3
Customer0007227,2020/4/9,Chocolate cake,480,1
Customer0006597,2019/9/18,Chocolate cake,480,1
Customer0006374,2019/9/28,Chocolate cake,480,1
Customer0006374,2020/3/3,Chocolate cake,480,1
Customer0006374,2020/3/31,Chocolate cake,480,2
Customer0006597,2020/4/8,Chocolate cake,480,2
Customer0006374,2020/4/13,Chocolate cake,480,3
Customer0006374,2020/4/28,Chocolate cake,480,2
Customer0006597,2020/5/6,Chocolate cake,480,3
Customer0006374,2020/5/12,Chocolate cake,480,1
Customer0006374,2020/5/25,Chocolate cake,480,3
Customer0006374,2020/6/9,Chocolate cake,480,1
Customer0006597,2020/6/9,Chocolate cake,480,2
Customer0006374,2020/6/23,Chocolate cake,480,1
Customer0006374,2020/7/16,Chocolate cake,480,3
Customer0006442,2020/7/25,Chocolate cake,480,2
Customer0006374,2019/10/29,Chocolate cake,480,1
Customer0006374,2019/11/12,Chocolate cake,480,3
Customer0006374,2019/11/26,Chocolate cake,480,2
Customer0006374,2019/12/8,Chocolate cake,480,3
Customer0006374,2019/12/21,Chocolate cake,480,1
Customer0006374,2019/9/13,Chocolate cake,480,2
Customer0006442,2019/9/28,Chocolate cake,480,2
Customer0006442,2020/3/7,Chocolate cake,480,2
Customer0006442,2020/5/2,Chocolate cake,480,1
Customer0006374,2020/8/30,Chocolate cake,480,1
Customer0006374,2019/10/15,Chocolate cake,480,3
Customer0006374,2019/10/29,Chocolate cake,480,2
Customer0006374,2019/11/12,Chocolate cake,480,3
Customer0006374,2019/11/26,Chocolate cake,480,1
Customer0006374,2019/12/8,Chocolate cake,480,2
Customer0006374,2019/12/21,Chocolate cake,480,3
Customer0006374,2020/1/7,Chocolate cake,480,3
Customer0006374,2020/1/24,Chocolate cake,480,1
Customer0006374,2020/2/4,Chocolate cake,480,3
Customer0006374,2020/2/18,Chocolate cake,480,1
Customer0006597,2020/2/26,Chocolate cake,480,3
Customer0006374,2020/3/16,Chocolate cake,480,1
Customer0006374,2020/7/4,Chocolate cake,480,1
Customer0006374,2020/8/1,Chocolate cake,480,2
Customer0006442,2019/11/9,Chocolate cake,480,2
Customer0006442,2020/1/4,Chocolate cake,480,2
Customer0006442,2020/8/29,Chocolate cake,480,2
Customer0006597,2019/11/20,Chocolate cake,480,3
Customer0006374,2020/7/4,Chocolate cake,480,3
Customer0006374,2020/8/1,Chocolate cake,480,3
Customer0006442,2020/7/25,Chocolate cake,480,2
Customer0006442,2020/1/4,Chocolate cake,480,3
Customer0000422,2020/1/8,Chocolate cake,480,3
Customer0001370,2020/7/8,Chocolate cake,480,2
Customer0004431,2019/10/25,Shortcake,580,2
Customer0003717,2019/11/22,Shortcake,580,3
Customer0003347,2020/8/26,Shortcake,580,2
Customer0003554,2020/7/18,Shortcake,580,1
Customer0008134,2020/2/20,Shortcake,580,3
Customer0003347,2019/11/21,Shortcake,580,3
Customer0000208,2020/5/22,Shortcake,580,3
Customer0004431,2020/8/18,Shortcake,580,2
Customer0008134,2020/6/27,Shortcake,580,1
Customer0008134,2019/9/12,Shortcake,580,1
Customer0003347,2020/2/26,Shortcake,580,3
Customer0000208,2020/8/21,Shortcake,580,2
Customer0003554,2020/3/12,Shortcake,580,1
Customer0000208,2019/9/7,Shortcake,580,3
Customer0008134,2019/9/12,Shortcake,580,3
Customer0004431,2019/9/12,Shortcake,580,3
Customer0000422,2019/9/21,Shortcake,580,2
Customer0000208,2020/5/26,Shortcake,580,3
Customer0000208,2019/11/9,Shortcake,580,2
Customer0000208,2020/5/22,Shortcake,580,1
Customer0001354,2019/12/17,Shortcake,580,1
Customer0003347,2020/8/26,Shortcake,580,3
Customer0000208,2020/1/4,Shortcake,580,1
Customer0000675,2019/9/19,Shortcake,580,1
Customer0003347,2020/6/25,Shortcake,580,3
Customer0003347,2020/5/27,Shortcake,580,1
Customer0000208,2020/2/15,Shortcake,580,3
Customer0004431,2020/1/7,Shortcake,580,2
Customer0000675,2019/12/10,Shortcake,580,2
Customer0004431,2019/12/18,Shortcake,580,2
Customer0003347,2019/12/28,Shortcake,580,1
Customer0000208,2020/4/9,Shortcake,580,2
Customer0009013,2020/2/4,Shortcake,580,3
Customer0003347,2019/12/28,Shortcake,580,3
Customer0001354,2020/6/29,Shortcake,580,2
Customer0009013,2020/4/7,Shortcake,580,2
Customer0000675,2020/4/16,Shortcake,580,2
Customer0009548,2020/4/23,Shortcake,580,3
Customer0009576,2020/4/24,Shortcake,580,2
Customer0003347,2020/4/30,Shortcake,580,1
Customer0001370,2020/5/5,Shortcake,580,3
Customer0001370,2020/5/26,Shortcake,580,3
Customer0009955,2020/7/2,Shortcake,580,2
Customer0008134,2020/7/29,Shortcake,580,2
Customer0003347,2019/10/22,Shortcake,580,3
Customer0003347,2020/1/25,Shortcake,580,3
Customer0003717,2020/7/4,Shortcake,580,1
Customer0000208,2020/7/8,Shortcake,580,1
Customer0006374,2020/7/4,Shortcake,580,3
Customer0007227,2020/5/29,Shortcake,580,1
Customer0000675,2020/6/27,Shortcake,580,3
Customer0001354,2020/2/18,Shortcake,580,3
Customer0004431,2019/12/18,Shortcake,580,3
Customer0000675,2019/12/10,Shortcake,580,3
Customer0009013,2019/12/14,Shortcake,580,1
Customer0004431,2019/12/18,Shortcake,580,1
Customer0000208,2020/1/4,Shortcake,580,2
Customer0003717,2020/1/25,Shortcake,580,2
Customer0000208,2020/8/21,Shortcake,580,3
Customer0009013,2020/8/22,Shortcake,580,1
Customer0009013,2020/1/28,Shortcake,580,3
Customer0000675,2020/1/28,Shortcake,580,1
Customer0009013,2019/12/14,Shortcake,580,2
Customer0000675,2019/12/10,Shortcake,580,3
Customer0000675,2020/1/28,Shortcake,580,2
Customer0009013,2020/7/18,Shortcake,580,2
Customer0001354,2020/7/1,Shortcake,580,2
Customer0000208,2020/7/4,Shortcake,580,2
Customer0001354,2019/9/5,Shortcake,580,1
Customer0000675,2019/9/11,Shortcake,580,2
Customer0004431,2019/9/12,Shortcake,580,2
Customer0000422,2019/9/21,Shortcake,580,3
Customer0000422,2019/9/21,Shortcake,580,1
Customer0000675,2019/11/6,Shortcake,580,2
Customer0008134,2019/11/9,Shortcake,580,1
Customer0000208,2019/11/9,Shortcake,580,1
Customer0010692,2019/11/16,Shortcake,580,3
Customer0009013,2019/11/16,Shortcake,580,2
Customer0003347,2019/11/21,Shortcake,580,3
Customer0009013,2020/5/26,Shortcake,580,1
Customer0000422,2020/6/20,Shortcake,580,3
Customer0000422,2019/10/17,Shortcake,580,2
Customer0000422,2020/3/10,Shortcake,580,3
Customer0001370,2020/3/13,Shortcake,580,3
Customer0001370,2020/2/26,Shortcake,580,1
Customer0000422,2020/5/19,Shortcake,580,1
Customer0001370,2020/5/26,Shortcake,580,3
Customer0000422,2020/8/20,Shortcake,580,1
Customer0000422,2019/10/17,Shortcake,580,1
Customer0000422,2020/1/8,Shortcake,580,3
Customer0000422,2020/5/19,Shortcake,580,2
Customer0000422,2020/1/9,Shortcake,580,2
Customer0001370,2019/11/1,Shortcake,580,3
Customer0001370,2020/4/14,Shortcake,580,1
Customer0001370,2020/2/15,Shortcake,580,3
Customer0001370,2020/5/26,Shortcake,580,3
Customer0000422,2020/8/27,Shortcake,580,2
Customer0000422,2020/3/10,Shortcake,580,2
Customer0000422,2020/6/26,Shortcake,580,1
Customer0001370,2020/7/8,Shortcake,580,3
Customer0001370,2020/7/8,Shortcake,580,2
Customer0000422,2019/11/22,Shortcake,580,1
Customer0001370,2020/3/17,Shortcake,580,2
Customer0001370,2020/6/20,Shortcake,580,2
Customer0000422,2020/1/9,Shortcake,580,2
Customer0000422,2020/5/19,Shortcake,580,1
Customer0000422,2020/1/9,Shortcake,580,2
Customer0000422,2020/5/19,Shortcake,580,2
Customer0001507,2020/1/25,Rare cheesecake,380,1
Customer0001507,2020/5/19,Rare cheesecake,380,2
Customer0001798,2020/8/27,jelly,470,3
Customer0001507,2020/6/23,cream puff,590,3
Customer0003150,2019/11/11,cream puff,590,2
Customer0003150,2020/6/12,cream puff,590,2
Customer0003150,2020/6/18,cream puff,590,1
Customer0003307,2019/11/21,Eclair,420,3
Customer0003307,2019/11/21,Eclair,420,3
Customer0001507,2019/9/5,Eclair,420,3
Customer0003150,2019/9/25,Eclair,420,3
Customer0001507,2020/1/25,Eclair,420,3
Customer0001507,2020/6/23,Eclair,420,1
Customer0003307,2020/5/13,Eclair,420,1
Customer0003307,2019/9/4,Eclair,420,3
Customer0004008,2020/4/11,Gateau chocolat,600,1
Customer0004008,2020/4/11,jelly,470,3
Customer0001798,2020/4/28,Pudding,390,2
Customer0004976,2020/8/25,Pudding,390,3
Customer0001798,2020/8/27,Pudding,390,1
Customer0005523,2020/1/28,Pudding,390,1
Customer0001798,2020/7/16,Pudding,390,3
Customer0003307,2019/10/12,Pudding,390,1
Customer0001798,2020/4/28,Pudding,390,3
Customer0005523,2020/8/5,Pudding,390,1
Customer0001798,2020/4/28,Pudding,390,2
Customer0001798,2019/11/6,cookie,430,1
Customer0006062,2019/11/19,cookie,430,3
Customer0004008,2019/11/22,cookie,430,3
Customer0004008,2019/9/12,Apple Pie,590,1
Customer0004008,2019/10/3,Apple Pie,590,1
Customer0004008,2020/4/6,Apple Pie,590,1
Customer0006975,2019/9/3,Chocolate cake,480,2
Customer0007095,2019/10/8,Chocolate cake,480,2
Customer0007095,2019/11/1,Chocolate cake,480,3
Customer0007095,2019/11/22,Chocolate cake,480,1
Customer0007095,2020/2/4,Chocolate cake,480,2
Customer0007095,2020/3/3,Chocolate cake,480,3
Customer0007095,2020/3/31,Chocolate cake,480,3
Customer0007095,2020/5/1,Chocolate cake,480,3
Customer0007095,2020/5/30,Chocolate cake,480,3
Customer0007095,2020/8/1,Chocolate cake,480,1
Customer0007095,2020/8/29,Chocolate cake,480,1
Customer0007183,2019/10/3,Chocolate cake,480,1
Customer0007197,2019/10/14,Chocolate cake,480,1
Customer0007197,2020/3/4,Chocolate cake,480,2
Customer0007197,2020/4/10,Chocolate cake,480,3
Customer0007197,2020/7/23,Chocolate cake,480,3
Customer0007197,2020/8/28,Chocolate cake,480,3
Customer0007481,2020/3/22,Chocolate cake,480,1
Customer0004008,2019/10/3,Chocolate cake,480,2
Customer0004008,2020/2/5,Chocolate cake,480,1
Customer0004008,2020/8/5,Chocolate cake,480,2
Customer0004008,2020/5/13,Shortcake,580,1
Customer0003150,2019/12/16,Shortcake,580,2
Customer0007770,2020/6/13,Shortcake,580,1
Customer0003150,2020/8/18,Shortcake,580,3
Customer0003150,2020/8/18,Shortcake,580,2
Customer0003150,2020/2/3,Shortcake,580,2
Customer0003150,2020/8/18,Shortcake,580,1
Customer0003150,2020/8/18,Shortcake,580,3
Customer0007949,2020/8/27,Shortcake,580,1
Customer0004008,2020/8/5,Shortcake,580,2
Customer0004008,2020/8/5,Shortcake,580,2
Customer0004008,2020/1/4,Shortcake,580,3
Customer0008126,2020/1/2,Shortcake,580,3
Customer0008128,2020/1/24,Shortcake,580,1
Customer0003150,2020/2/3,Shortcake,580,2
Customer0004008,2020/2/5,Shortcake,580,3
Customer0003150,2020/2/3,Shortcake,580,2
Customer0003150,2020/5/14,Shortcake,580,3
Customer0003150,2020/8/18,Shortcake,580,1
Customer0004008,2019/10/3,Shortcake,580,3
Customer0003307,2019/10/12,Shortcake,580,3
Customer0003150,2019/10/17,Shortcake,580,3
Customer0004008,2019/11/1,Shortcake,580,3
Customer0003150,2020/1/6,Shortcake,580,2
Customer0003307,2020/2/8,Shortcake,580,2
Customer0001798,2020/3/3,Shortcake,580,1
Customer0008369,2020/3/7,Shortcake,580,3
Customer0007949,2019/9/5,Shortcake,580,3
Customer0003150,2020/2/3,Shortcake,580,3
Customer0003307,2020/2/8,Shortcake,580,1
Customer0003307,2020/2/8,Shortcake,580,3
Customer0007949,2019/9/5,Shortcake,580,1
Customer0003307,2019/9/18,Shortcake,580,1
Customer0001507,2019/9/30,Shortcake,580,1
Customer0001507,2020/2/21,Shortcake,580,3
Customer0003150,2019/12/16,Shortcake,580,2
Customer0008369,2020/3/7,Shortcake,580,3
Customer0003307,2020/3/17,Shortcake,580,2
Customer0003307,2019/11/18,Shortcake,580,3
Customer0003307,2020/2/8,Shortcake,580,2
Customer0008369,2020/7/18,Shortcake,580,3
Customer0003307,2020/7/24,Shortcake,580,1
Customer0001507,2019/11/20,Shortcake,580,2
Customer0003150,2020/8/18,Shortcake,580,3
Customer0003150,2020/2/3,Shortcake,580,1
Customer0004008,2020/3/16,Shortcake,580,1
Customer0008128,2020/6/6,Shortcake,580,1
Customer0003150,2020/7/23,Shortcake,580,1
Customer0007095,2020/1/2,Shortcake,580,3
Customer0007095,2020/7/1,Shortcake,580,3
Customer0003150,2019/9/16,Shortcake,580,3
Customer0008369,2020/2/1,Shortcake,580,1
Customer0003150,2019/12/16,Shortcake,580,2
Customer0003150,2020/2/3,Shortcake,580,1
Customer0001798,2020/6/3,Shortcake,580,3
Customer0001798,2020/3/31,Shortcake,580,3
Customer0004008,2020/4/6,Shortcake,580,3
Customer0009214,2020/4/8,Shortcake,580,1
Customer0009307,2020/4/11,Shortcake,580,2
Customer0008126,2020/4/16,Shortcake,580,3
Customer0001798,2020/4/28,Shortcake,580,3
Customer0008128,2020/5/14,Shortcake,580,1
Customer0004008,2020/5/19,Shortcake,580,3
Customer0001798,2020/5/28,Shortcake,580,3
Customer0004008,2019/10/22,Shortcake,580,2
Customer0008369,2019/11/2,Shortcake,580,2
Customer0004008,2020/8/5,Shortcake,580,2
Customer0010126,2020/7/30,Shortcake,580,1
Customer0008369,2020/1/18,Shortcake,580,1
Customer0010126,2020/7/30,Shortcake,580,1
Customer0007770,2020/7/28,Shortcake,580,3
Customer0004008,2020/2/5,Shortcake,580,3
Customer0007949,2020/3/12,Shortcake,580,1
Customer0004008,2020/3/16,Shortcake,580,1
Customer0010126,2020/7/30,Shortcake,580,3
Customer0010126,2020/7/30,Shortcake,580,1
Customer0004008,2020/2/5,Shortcake,580,1
Customer0010126,2020/1/6,Shortcake,580,2
Customer0007197,2020/1/8,Shortcake,580,3
Customer0006062,2020/1/15,Shortcake,580,1
Customer0007197,2020/5/29,Shortcake,580,3
Customer0001507,2020/1/25,Shortcake,580,2
Customer0001507,2020/2/21,Shortcake,580,1
Customer0008369,2020/1/18,Shortcake,580,3
Customer0004008,2020/8/5,Shortcake,580,2
Customer0003307,2019/12/27,Shortcake,580,3
Customer0004008,2019/11/23,Shortcake,580,3
Customer0010126,2020/7/30,Shortcake,580,3
Customer0004008,2020/8/5,Shortcake,580,1
Customer0003307,2020/7/24,Shortcake,580,1
Customer0004008,2019/9/12,Shortcake,580,3
Customer0003150,2019/9/16,Shortcake,580,3
Customer0008369,2019/9/27,Shortcake,580,3
Customer0007949,2019/11/8,Shortcake,580,2
Customer0008126,2019/11/13,Shortcake,580,3
Customer0004008,2019/11/14,Shortcake,580,1
Customer0006062,2019/11/16,Shortcake,580,1
Customer0010126,2019/11/22,Shortcake,580,1
Customer0010126,2020/1/6,Shortcake,580,2
Customer0003150,2020/2/3,Shortcake,580,2
Customer0000037,2019/11/1,Macaroons,530,3
Customer0000332,2019/9/10,Macaroons,530,3
Customer0000399,2019/11/12,Macaroons,530,3
Customer0000421,2019/11/21,Macaroons,530,1
Customer0000332,2019/11/2,Macaroons,530,3
Customer0000709,2020/2/22,Macaroons,530,1
Customer0000332,2020/5/20,Macaroons,530,3
Customer0000399,2020/3/7,jelly,470,1
Customer0000399,2020/3/19,jelly,470,3
Customer0001128,2019/10/29,Rare cheesecake,380,1
Customer0001452,2020/2/11,Rare cheesecake,380,2
Customer0001452,2020/4/17,Rare cheesecake,380,3
Customer0001452,2020/6/16,Rare cheesecake,380,1
Customer0002658,2019/11/15,Gateau chocolat,600,3
Customer0002966,2020/7/24,cream puff,590,1
Customer0002966,2019/10/9,cream puff,590,3
Customer0002966,2019/12/11,cream puff,590,1
Customer0002966,2020/1/2,cream puff,590,2
Customer0002966,2020/2/21,cream puff,590,1
Customer0002966,2020/5/28,cream puff,590,3
Customer0002966,2020/6/25,cream puff,590,2
Customer0002658,2020/3/7,Eclair,420,1
Customer0000421,2020/8/6,Gateau chocolat,600,1
Customer0000421,2020/8/6,Gateau chocolat,600,1
Customer0000399,2019/9/17,Gateau chocolat,600,1
Customer0000399,2019/9/17,Gateau chocolat,600,2
Customer0000399,2019/11/12,Gateau chocolat,600,1
Customer0000399,2020/2/15,Gateau chocolat,600,2
Customer0000399,2020/5/8,Gateau chocolat,600,3
Customer0000399,2019/9/17,Gateau chocolat,600,3
Customer0000399,2019/9/17,Gateau chocolat,600,2
Customer0000399,2019/11/12,Gateau chocolat,600,2
Customer0000399,2020/2/15,Gateau chocolat,600,1
Customer0000399,2020/5/8,Gateau chocolat,600,2
Customer0002966,2020/3/26,jelly,470,3
Customer0004518,2019/12/6,Pudding,390,2
Customer0004518,2020/1/8,Pudding,390,1
Customer0004518,2020/5/22,Pudding,390,3
Customer0004898,2019/11/1,Pudding,390,2
Customer0004518,2020/8/12,Pudding,390,2
Customer0005263,2019/11/23,Pudding,390,1
Customer0002966,2019/9/11,Pudding,390,1
Customer0002966,2019/10/9,Pudding,390,1
Customer0002966,2019/10/9,Pudding,390,2
Customer0001452,2020/6/16,Pudding,390,3
Customer0002966,2020/7/29,Pudding,390,2
Customer0005954,2019/11/1,cookie,430,2
Customer0000709,2020/6/20,Apple Pie,590,3
Customer0006798,2020/4/6,Apple Pie,590,2
Customer0007180,2019/10/2,Chocolate cake,480,2
Customer0007180,2019/12/14,Chocolate cake,480,1
Customer0007180,2020/3/20,Chocolate cake,480,2
Customer0002966,2020/7/24,Chocolate cake,480,3
Customer0007638,2020/4/2,Chocolate cake,480,1
Customer0002966,2020/7/24,Chocolate cake,480,1
Customer0002658,2020/5/16,Shortcake,580,2
Customer0007769,2020/6/11,Shortcake,580,3
Customer0000709,2019/10/30,Shortcake,580,3
Customer0000332,2020/8/6,Shortcake,580,2
Customer0002966,2019/10/9,Shortcake,580,1
Customer0000421,2020/3/13,Shortcake,580,2
Customer0001128,2020/3/17,Shortcake,580,3
Customer0000421,2020/3/19,Shortcake,580,3
Customer0000332,2020/4/1,Shortcake,580,1
Customer0000037,2020/4/24,Shortcake,580,1
Customer0000399,2019/10/2,Shortcake,580,3
Customer0008246,2019/10/19,Shortcake,580,2
Customer0001452,2020/6/20,Shortcake,580,1
Customer0000037,2020/2/7,Shortcake,580,3
Customer0008441,2020/5/1,Shortcake,580,2
Customer0000037,2020/8/26,Shortcake,580,2
Customer0008441,2020/8/26,Shortcake,580,2
Customer0002658,2020/8/18,Shortcake,580,3
Customer0002966,2019/9/11,Shortcake,580,3
Customer0000709,2020/2/22,Shortcake,580,1
Customer0008591,2020/2/26,Shortcake,580,2
Customer0002658,2020/5/16,Shortcake,580,3
Customer0000709,2020/8/12,Shortcake,580,3
Customer0000037,2019/12/24,Shortcake,580,3
Customer0000037,2020/4/24,Shortcake,580,2
Customer0000332,2020/5/20,Shortcake,580,2
Customer0000037,2020/4/24,Shortcake,580,3
Customer0002966,2019/10/9,Shortcake,580,2
Customer0002658,2020/2/14,Shortcake,580,2
Customer0002966,2020/3/12,Shortcake,580,1
Customer0000421,2020/6/9,Shortcake,580,2
Customer0000709,2019/9/28,Shortcake,580,2
Customer0000709,2019/11/23,Shortcake,580,2
Customer0002966,2020/7/24,Shortcake,580,3
Customer0000709,2020/4/17,Shortcake,580,2
Customer0008984,2019/9/12,Shortcake,580,3
Customer0000037,2020/1/31,Shortcake,580,1
Customer0007769,2020/2/5,Shortcake,580,3
Customer0008246,2020/2/7,Shortcake,580,2
Customer0002658,2020/2/14,Shortcake,580,2
Customer0004518,2020/2/21,Shortcake,580,3
Customer0009046,2020/2/25,Shortcake,580,3
Customer0000332,2020/1/24,Shortcake,580,2
Customer0000709,2020/8/12,Shortcake,580,2
Customer0008591,2020/6/1,Shortcake,580,2
Customer0000037,2020/6/19,Shortcake,580,3
Customer0000709,2020/6/20,Shortcake,580,3
Customer0008246,2020/4/1,Shortcake,580,3
Customer0006798,2020/4/6,Shortcake,580,2
Customer0009046,2020/4/13,Shortcake,580,1
Customer0002966,2020/4/15,Shortcake,580,3
Customer0004518,2020/4/15,Shortcake,580,3
Customer0000399,2020/5/8,Shortcake,580,1
Customer0009906,2020/5/28,Shortcake,580,1
Customer0002966,2020/5/28,Shortcake,580,2
Customer0008246,2020/7/7,Shortcake,580,2
Customer0007769,2019/10/22,Shortcake,580,1
Customer0002658,2019/10/23,Shortcake,580,3
Customer0008441,2019/11/5,Shortcake,580,2
Customer0007769,2020/1/15,Shortcake,580,2
Customer0002966,2020/1/10,Shortcake,580,1
Customer0007180,2020/1/4,Shortcake,580,2
Customer0002966,2020/1/10,Shortcake,580,2
Customer0007769,2020/5/7,Shortcake,580,2
Customer0007180,2020/5/9,Shortcake,580,2
Customer0001128,2020/3/14,Shortcake,580,1
Customer0002658,2020/1/18,Shortcake,580,1
Customer0000037,2020/2/7,Shortcake,580,1
Customer0000037,2019/12/24,Shortcake,580,1
Customer0000332,2020/1/24,Shortcake,580,1
Customer0000037,2020/8/15,Shortcake,580,3
Customer0000037,2019/12/24,Shortcake,580,3
Customer0000332,2020/1/24,Shortcake,580,3
Customer0000332,2020/8/6,Shortcake,580,3
Customer0000709,2020/8/12,Shortcake,580,2
Customer0000037,2020/8/15,Shortcake,580,2
Customer0002658,2020/8/20,Shortcake,580,2
Customer0000709,2020/7/4,Shortcake,580,3
Customer0001452,2020/7/1,Shortcake,580,1
Customer0005263,2020/7/11,Shortcake,580,1
Customer0002966,2019/9/11,Shortcake,580,2
Customer0010549,2019/9/18,Shortcake,580,1
Customer0000709,2019/9/28,Shortcake,580,2
Customer0008246,2019/11/12,Shortcake,580,2
Customer0000399,2019/11/12,Shortcake,580,2
Customer0000709,2019/11/23,Shortcake,580,3
Customer0006798,2019/11/27,Shortcake,580,2
Customer0009906,2019/12/21,Shortcake,580,3
Customer0009046,2020/6/12,Shortcake,580,3
Customer0002966,2020/6/11,Shortcake,580,2
Customer0000399,2020/1/18,Shortcake,580,3
Customer0000399,2020/3/7,Shortcake,580,1
Customer0000399,2020/1/18,Shortcake,580,1
Customer0000399,2020/5/8,Shortcake,580,1
Customer0000399,2019/12/24,Shortcake,580,1
Customer0000399,2020/3/7,Shortcake,580,1
